Section,ID,SpeedOrTitle,PriceOrTitleKn,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12
term_offer,1,6,1,Buy 6 Months — 1 Month Free,,,,,,,,
term_offer,2,10,2,Buy 10 Months — 2 Months Free,,,,,,,,
term_plan,1,20 MBPS,,,,,,,,,,
term_plan,2,30 MBPS,,,,,,,,,,
term_plan,3,40 MBPS,,,,,,,,,,
term_plan,4,50 MBPS,,,,,,,,,,
term_plan,5,75 MBPS,,,,,,,,,,
term_plan,6,100 MBPS,,,,,,,,,,
term_plan,7,150 MBPS,,,,,,,,,,
term_plan,8,200 MBPS,,,,,,,,,,
term_plan,9,300 MBPS,,,,,,,,,,
welcome_plan,1,Welcome Plan 50 Mbps,50 MBPS,6,2399,10,Zee5 Premium|Sony Liv Premium|Discovery Plus|Shemaroo Me|OM Tv|Fancode|Hubhopper|Playbox TV|Hotstar|itap,,,,,
welcome_plan,2,Welcome Plan 100 Mbps (6 Months),100 MBPS,6,2999,16,ShemarooMe|ZEE5|SonyPremium|Hungama|Hotstar_Super|Sunnxt|AAONXT|Discovery|Fancode|PlayboxTV|OMTV|DistroTV|HubHopper|KancchaLannka|RajTV|JioSaavn,,,,,
welcome_plan,3,Welcome Plan 100 Mbps (12 Months),100 MBPS,12,4999,16,ShemarooMe|ZEE5|SonyPremium|Hungama|Hotstar_Super|Sunnxt|AAONXT|Discovery|Fancode|PlayboxTV|OMTV|DistroTV|HubHopper|KancchaLannka|RajTV|JioSaavn,,,,,
setting,welcome_plans_enabled,no,,,,,,,,,,
